full_text,category,user_id_str,username,created_at,klasifikasi Text Blob,klasifikasi_SVM
sorry mau nanya pengumuman studi independen biasanya berapa hari terdaftar thankyouu dips,pengalaman keseluruhan,1.18E+18,undipmenfess,Thu May 23 12:56:20 +0000 2024,Negatif,Negatif
jokitugasxave jurnal komputer laporan studi independen,pengalaman keseluruhan,1.62E+18,wolfexave,Thu May 23 12:07:30 +0000 2024,Netral,Netral
bingung cari mitra msib kepoin studi independen deh pilihan trek uiux design artificial intelligence data science konversi mentoring flexible akses materi lifetime detailnya,pengalaman keseluruhan,1.18E+18,undipmenfess,Thu May 23 10:00:00 +0000 2024,Negatif,Negatif
punten ikut msib kali ga misalnya sender smt ikut studi independen smt mendatang mau ikut magang ga apa salah satu,pengalaman keseluruhan,1.28E+18,ipb_menfess,Thu May 23 07:45:15 +0000 2024,Positif,Positif
kalo daftar studi independen msib butuh cv gak sih guys,pengalaman keseluruhan,1.33E+18,tanyakanrl,Thu May 23 06:56:58 +0000 2024,Netral,Netral
mending ikut msib magang studi independen udah pernah ikut batch sebelumnya kasih alesan dong makasii,pengalaman keseluruhan,1.33E+18,tanyakanrl,Thu May 23 06:05:26 +0000 2024,Positif,Positif
grouberbagi fakta keenam linkedin susun linkedin segera buat besar kemungkinan hr ngecek linkedin kamu jadiii buat sebagus mungkin linkedin msibbatch magangkampusmerdeka studiindependen,pengalaman keseluruhan,1.50E+18,groucareer,Thu May 23 05:26:37 +0000 2024,Positif,Positif
grouberbagi fakta kelima kalo kamu mau ikut studi independen kamu bakal belajar diajarin sama mentor eitss kamu ngga ikut magang merdeka msibbatch studiindependen mentor,pengalaman keseluruhan,1.50E+18,groucareer,Thu May 23 05:26:37 +0000 2024,Netral,Netral
grouberbagi fakta pertama kalo kamu ikut program msib konversi sks lho grousquad jangan lupa konsultasi sama prodi masingmasing yaa sks msibbatch magangkampusmerdeka studiindependen,pengalaman keseluruhan,1.50E+18,groucareer,Thu May 23 05:26:32 +0000 2024,Positif,Positif
mingrou dengerdenger msib batch bentar mau dibuka nihh kirakira grousquad udah tau faktafakta seputar msib check it out a thread msibbatch magangkampusmerdeka studiindependen grouyourcareer,pengalaman keseluruhan,1.50E+18,groucareer,Thu May 23 05:26:32 +0000 2024,Netral,Netral
saran dongg buat anak psikologi mau ngambil studi independen nya kemanaa msib studiindependen mahasiswa psikologi,pengalaman keseluruhan,1.36E+18,sgthxzy,Thu May 23 03:01:49 +0000 2024,Netral,Netral
 guys msib nya pilih studi independen worth gk nyesel milih si drpd magang gk,pengalaman keseluruhan,1.05E+18,collegemenfess,Thu May 23 02:41:04 +0000 2024,Positif,Positif
aku open jasa bikin cvreview cv msib magang merdeka kampus mengajar studi independen buat testi dilihat media twitterhighlight ig aku yaa,pengalaman keseluruhan,1.37E+18,cvats_trusted,Thu May 23 00:29:14 +0000 2024,Netral,Netral
studi independen msib emang segabut yaa kak ikutan stupen gegara pengen pulang kampung dirumah aja ,pengalaman keseluruhan,1.05E+18,collegemenfess,Wed May 22 16:57:42 +0000 2024,Positif,Positif
 guys mau tanya mbkm kita pilih mitra magang studi independen berbarengan apa klo msib n msib gimana mohon pencerahannya,pengalaman keseluruhan,1.05E+18,collegemenfess,Wed May 22 12:25:40 +0000 2024,Netral,Netral
kalau ormawa mau ikut pasar dibuat ala ala startup forprofit tetep aja gaakan nyaingi program magang studi independen dikelola profesional,pengalaman keseluruhan,1579823628,_haykalhanif,Wed May 22 11:53:32 +0000 2024,Positif,Positif
mau daftar studi independen buat nambah ilmu mbkm kamu ditolak karna kurang ilmunya,pengalaman keseluruhan,4134068534,dokjauriel,Wed May 22 11:51:24 +0000 2024,Netral,Netral
hai haiii kalau daftar gas gak sih kakk,pengalaman keseluruhan,1.62E+18,startupcampusid,Wed May 22 10:57:41 +0000 2024,Netral,Netral
biasanya wfh studi independen nder iiw,pengalaman keseluruhan,1.07E+18,strwbrymoonjwan,Wed May 22 10:43:48 +0000 2024,Negatif,Negatif
wait wait wait kan stupen masa alasannya cukup ilmu gw ikut studi independen cukup ilmu,pengalaman keseluruhan,1.12E+18,BaronBram,Wed May 22 10:36:34 +0000 2024,Netral,Netral
info selengkapnya,pengalaman keseluruhan,1.62E+18,startupcampusid,Wed May 22 10:34:02 +0000 2024,Positif,Positif
mjb kak cuma mau kasih semangat semoga lancar daftarnyaa,pengalaman keseluruhan,1.62E+18,startupcampusid,Wed May 22 10:31:20 +0000 2024,Positif,Positif
bantu mengaminkan,pengalaman keseluruhan,1.62E+18,startupcampusid,Wed May 22 10:29:53 +0000 2024,Netral,Netral
ikut mengaminkan daftar msib studi independen startup campus ayo kakk kalau ikut assessment kesempatan golden ticket loh sini kepoin dulu,pengalaman keseluruhan,1.62E+18,startupcampusid,Wed May 22 10:28:24 +0000 2024,Positif,Positif
ikut studi independen biar multitasking kak sini kepoin stupen startup campus,pengalaman keseluruhan,1.62E+18,startupcampusid,Wed May 22 10:27:17 +0000 2024,Netral,Netral
program menarik mahasiwa msib magang studi independen bersertifikat pertukaran mahasiswa merdeka program kampus mengajar wirausaha mandiri kurang apa coba,pengalaman keseluruhan,18598424,ndorokakung,Tue May 21 13:36:07 +0000 2024,Positif,Positif
aku emang jujur gamau magang dulu emang pengen studi independen dulu biar dapet skillnya baru ntar magang msib soalnya takut kalo magang tiba tiba kerjain jobdesknya padahal ntar diajarin sih katanya,pengalaman keseluruhan,1.76E+18,8eyound1nfinite,Tue May 21 13:20:08 +0000 2024,Negatif,Negatif
bahkan membantu instansi tersebut nah bikin aku ragu buat ikut program kampus merdeka tuh aku takut capek kalo magang sekarang sih deket banget kampus didepan kampus aku bangunannya cuma kan kalo ikut msibpmmstudi independenkampus mengajar jauh,pengalaman keseluruhan,1.43E+18,kantiiiiiiiiiii,Tue May 21 10:36:12 +0000 2024,Negatif,Negatif
aku tuh kan magang gaes pemerintah kota nah sebenernya aku tuh pingin ikut program pertukaran pelajar msib kampus mengajar studi independen jujur aku ragu soalnya magang pemerintah aja ribet ibarat aku kerja orang serius ga,pengalaman keseluruhan,1.43E+18,kantiiiiiiiiiii,Tue May 21 10:36:10 +0000 2024,Positif,Positif
aku studi independen dulu terus semester depannya baru msib udah mulai dapet banyak offering abis stupen,pengalaman keseluruhan,1.28E+18,keetahui,Tue May 21 09:38:50 +0000 2024,Positif,Positif
 smt kalau banyak pengalaman mending ikut msib studi independen bagibagi pengalamannya dong kakak ikut program inii tia,pengalaman keseluruhan,1.05E+18,collegemenfess,Tue May 21 09:34:17 +0000 2024,Positif,Positif
brrti kalau gw sem mau daftar kampus mengajar sekaligus studi independen,pengalaman keseluruhan,1.01E+18,menitrust29,Tue May 21 09:17:07 +0000 2024,Netral,Netral
nyesel dulu pas ikut studi independen data analyst pake powerbi banyak bolos akhirnya bego gbs apaapa,pengalaman keseluruhan,1.38E+18,hotterways_,Tue May 21 09:02:54 +0000 2024,Positif,Positif
untircoy kalau udh daftar kampus mengajar daftar studi independen jg ga sih,pengalaman keseluruhan,1.16E+18,untirtafesss,Tue May 21 09:00:00 +0000 2024,Netral,Netral
bantu mengaminkan,pengalaman keseluruhan,1.62E+18,startupcampusid,Tue May 21 06:54:20 +0000 2024,Netral,Netral
ikut mengaminkan,pengalaman keseluruhan,1.62E+18,startupcampusid,Tue May 21 06:53:59 +0000 2024,Netral,Netral
siangg starcampers udah makan siang udah istirahat udah pilihpilih mitra web msib mbkm msib studi independen,pengalaman keseluruhan,1.62E+18,startupcampusid,Tue May 21 06:50:18 +0000 2024,Netral,Netral
wah kurang tau soalnya baik msib kampusmengajar kan udah kerja sama tuh kampus perusahan msib sekolah km better kalo kamu pendidikan ambil km aja kalo msib buat pendidikan bisanya dikonversi studi indep,pengalaman keseluruhan,1.32E+18,sideofdeepblue,Tue May 21 04:41:00 +0000 2024,Positif,Positif
raih kesempatan belajar coding gratis bersama ahli bidangnya tunggu daftar sekarang link sibdicoding sib msib sibatdicoding dicodingindonesia studiindependen msib magangmerdeka,pengalaman keseluruhan,2826650155,dicoding,Tue May 21 02:53:36 +0000 2024,Positif,Positif
aslinya tp org ga ikut satu menunda kkn satu lg konversi studi independen,pengalaman keseluruhan,1.38E+18,aprilboyhwa,Tue May 21 02:28:56 +0000 2024,Positif,Positif
kirain kalo ikut studi independen kagak bakalan nemu jenis manusia kek gitu,pengalaman keseluruhan,1.36E+18,n3wme_,Mon May 20 14:22:01 +0000 2024,Netral,Netral
rame soal mitra perbedaan studi independen magang sama better ikut stupen or magang but actually semua kebutuhan gue kalo magang lu udah siap terjun bekerja sampe jahatnya lu punya skill apa buat terima posisi,pengalaman keseluruhan,1.62E+18,Me211000,Mon May 20 12:51:06 +0000 2024,Negatif,Negatif
 sender bulan depan semester kalo misal daftar studi independen sekarang buat ikut pas sender semester rugi ga sih,pengalaman keseluruhan,1.05E+18,collegemenfess,Mon May 20 12:35:41 +0000 2024,Positif,Positif
ugm_fess pernah mengundurkan diri studi independen gak,pengalaman keseluruhan,1.28E+18,UGM_FESS,Mon May 20 11:01:13 +0000 2024,Netral,Netral
bantu mengaminkan cari learning path bidang apa nih kakk siapa tau dicari nih,pengalaman keseluruhan,1.62E+18,startupcampusid,Mon May 20 08:08:23 +0000 2024,Netral,Netral
work guys aku fresh graduate ptn iyasih aku ga pengalaman kerja intern aku pernah ikut organisasi studi independen msib punya personal business kemarin apply kerja satupun dapet kabar positif kayak aku se ga layak cont,pengalaman keseluruhan,1.24E+18,worksfess,Mon May 20 08:08:14 +0000 2024,Positif,Positif
daftar sekarang kursi kamu diambil orang dapatkan materi full daging benefit project real case studi independen startup campus trek data science belajar sama mas loh join grup mbkm msib,pengalaman keseluruhan,1.62E+18,startupcampusid,Mon May 20 08:01:35 +0000 2024,Positif,Positif
 halo bantu aku pilih dong sekarang aku smt ikut studi independen buat semester depan better mana a pkl bulan skripsi start semester b daftar magang msib skripsi semester,pengalaman keseluruhan,1.05E+18,collegemenfess,Mon May 20 07:16:03 +0000 2024,Netral,Netral
studi independen trnyt kyk kuliah kali sehari dong jir,proses belajar mengajar,1.14E+18,zee0zs,Mon May 20 06:48:00 +0000 2024,Netral,Netral
error,pengalaman keseluruhan,1.18E+18,undipmenfess,Mon May 20 06:46:21 +0000 2024,Netral,Netral
mandutama learning membuka pendaftaran program studi independen bersertifikat batch kampus merdeka mengangkat tema advanced skills level bim engineer informasi pendaftaran pendaftaran dibuka tanggal juni,pengalaman keseluruhan,1.49E+18,io_ums_official,Mon May 20 06:14:15 +0000 2024,Netral,Netral
trs buat argumen bawa nama genz guys dont yall know program msib lu mudahnya dapet pengalaman magang lulus lu ikut studi independen for sertifikasi free courses soo yeahh aku membenarkan kesalahan beliau,pengalaman keseluruhan,1.68E+18,moonverest,Mon May 20 00:46:32 +0000 2024,Positif,Positif
gawe laporan studi independen gak iki,pengalaman keseluruhan,1.74E+18,smthwthyou,Sun May 19 15:15:06 +0000 2024,Netral,Netral
studi independen bangkit academy dibuka,pengalaman keseluruhan,1.57E+18,junadhi_ux,Sun May 19 14:37:52 +0000 2024,Netral,Netral
ut sender mau daftar msib gak punya pengalaman organisasi pas kuliah adanya pas sma dimasukkin gak sertifnya mending daftar studi independen aja sender bingung sama minder tia,pengalaman keseluruhan,1.45E+18,utfess,Sun May 19 12:56:03 +0000 2024,Positif,Positif
btw ak ikut msib studi independen batch yah,pengalaman keseluruhan,1.39E+18,wushixunstarry,Sun May 19 09:10:50 +0000 2024,Netral,Netral
prof john mearsheimer berbicara pusat studi independen cis masalah besar dihadapi israel,pengalaman keseluruhan,78754065,50yearjourney,Sat May 18 22:45:05 +0000 2024,Positif,Positif
keterima studi independen sayour dapet golden ticket aamiin,pengalaman keseluruhan,1.31E+18,eunathereal,Sat May 18 22:19:27 +0000 2024,Positif,Positif
komputer lakeside bukan bagian kurikulum umum termasuk program studi independen morgan housel psychology of money,pengalaman keseluruhan,1.78E+18,sarkaxme,Fri May 17 06:17:34 +0000 2024,Positif,Positif
wah wah banyak nyari studi independen nih ga nyangkaa,pengalaman keseluruhan,1.62E+18,startupcampusid,Fri May 17 04:08:44 +0000 2024,Positif,Positif
trek apa aja sih studi independen startup campus benefitnya apa aja sistem belajarnya gimana semua diakses link berikut yaa join komunitas pejuang msib sc biar ga ketinggalan updatenya,proses belajar mengajar,1.62E+18,startupcampusid,Fri May 17 03:59:21 +0000 2024,Netral,Netral
 permisi apa tau maksimal ikut mbkm berapa kali misal ikut studi independen x kemudian ikut pmm,proses belajar mengajar,1.05E+18,collegemenfess,Fri May 17 01:01:36 +0000 2024,Positif,Positif
halooo pernah ikut studi independen kampus merdeka bagian machine learning gak aku mau tanyatanyaaaa makasih,proses belajar mengajar,1.33E+18,tanyakanrl,Fri May 17 00:44:34 +0000 2024,Positif,Positif
 halooo pernah ikut studi independen kampus merdeka bagian machine learning gak aku mau tanyatanyaaaa makasih,proses belajar mengajar,1.05E+18,collegemenfess,Fri May 17 00:44:12 +0000 2024,Positif,Positif
temenku dulu ikutan nder sekarang ambil studi independen kalau habis lulus kamu mau buka bisnis wirausaha cocok buat kalau kamu mau berkarier korporat mending ambil magang merdeka aja,pengalaman keseluruhan,8.98E+17,ngestalks,Thu May 16 22:26:39 +0000 2024,Positif,Positif
ikut stupen berasa gabut plss ternyata gini rasanya ikut studi independen,proses belajar mengajar,1.38E+18,jupjupaaww,Thu May 16 14:17:52 +0000 2024,Netral,Netral
kabar gembira nih bestie pendaftaran studi independen bersertifikat batch myskill dibuka nih scroll buat tau kelas apa aja,administrasi,1.30E+18,myskill_id,Thu May 16 12:51:09 +0000 2024,Positif,Positif
 temen mau nanya dooong studi independen belajarnya real case bukan study case cias yaaa khususnya lingkup digital marketing makasiii,proses belajar mengajar,1.05E+18,collegemenfess,Thu May 16 12:25:06 +0000 2024,Positif,Positif
punya cv oke banget pesaingnya banyak makannya magang biasanya ikut studi independen dulu sih biar ilmunya dapet dulu,pengalaman keseluruhan,1.62E+18,startupcampusid,Wed May 15 10:40:00 +0000 2024,Positif,Positif
sedia payung hujan alias daftar mitra studi independen baru coba daftar magang batch selanjutnya belajar ilmunya dulu praktek kemudian,proses belajar mengajar,1.62E+18,startupcampusid,Wed May 15 10:37:45 +0000 2024,Positif,Positif
need jasa bkin cv ats kl bs pke b ingg lolos msib studi independen bkin portofolio jg drop fee bawah thx,pengalaman keseluruhan,1.47E+18,sasaanakmicin,Wed May 15 10:35:33 +0000 2024,Netral,Netral
 program msib studi independen emg daftar keluar prgram websitenya soalnya kosong web kampus merdekanya,pengalaman keseluruhan,1.05E+18,collegemenfess,Wed May 15 04:53:05 +0000 2024,Negatif,Negatif
 guys mau nanya kan aku buka web kampus merdeka rencana mau daftar program studi independen tp kok pas mau liat apa aja dibuka kok malah nampil gini apa rekomendasi kampus acc soalnya aku buka bagian magang lgsg keliatan cont,pengalaman keseluruhan,1.05E+18,collegemenfess,Wed May 15 04:21:41 +0000 2024,Netral,Netral
studi independen batch sekarang blm daftar kok kosong,pengalaman keseluruhan,1.21E+18,hershonistyle,Wed May 15 01:13:01 +0000 2024,Negatif,Negatif
fokus tap sama karil nder smt keatas aku smt ikut studi independen batch keras bangett smt penuh assignment mentoring cycle meeting sekarang final project kerasa banget capeknya,proses belajar mengajar,9.36E+17,damnfcksht,Tue May 14 16:28:58 +0000 2024,Negatif,Negatif
min gak niatan jadi mitra studi independen kampus merdeka,pengalaman keseluruhan,1.60E+18,shuixianch,Tue May 14 16:07:43 +0000 2024,Netral,Netral
sebenarnya masalah pokok ptn berubah jadi ptn bh ptnbh̢ memiliki otonomi diperluas mengizinkan pt utk mengatur rumah tangganya independen misalnya ptnbh memutuskan membuka menutup program studi n menentukan ukt mandiri,administrasi,1.22E+18,WongAlasRoban,Tue May 14 14:09:23 +0000 2024,Positif,Positif
ambil keputusan ikut studi independen msib ga pernah aku sesalin seumur hidup ikut pikiran aku bener bener berubah aku jadi punya semangat buat lanjutin mimpi tau sebenernya apaa mimpi cita citaku apa rencaku on my long term and short term,pengalaman keseluruhan,1.67E+18,pieicebear_,Tue May 14 13:21:17 +0000 2024,Netral,Netral
semenjak ikut studi independen msib my new dream was created kkk awalnyaa gapunya mimpi jurusan kuliah dipandang sebelah mata sama org kaya yaudahlah udah lulus cari kerja aja penting diterima but everything has changed pas aku ikut stupen,pengalaman keseluruhan,1.67E+18,pieicebear_,Tue May 14 13:21:16 +0000 2024,Positif,Positif
mahasiswa uny pernah ikut program mbkm studi independen pas kkn ga honest reviewnya dongg kak tia,pengalaman keseluruhan,1.32E+18,UNY_Base,Tue May 14 11:05:37 +0000 2024,Netral,Netral
setauku kalo studi independen semua jurusan kalo magang cuman bbrp jurusan oiya pastiin program kamu ambil linear sama mata kuliah kamu biar dikonversi minimal konversi sks maksimal,pengalaman keseluruhan,1.55E+18,yoloobund,Tue May 14 10:48:12 +0000 2024,Positif,Positif
tanyarl guys pernah ikut magang msib studi independen ceritain gaaa kirakira ngapain aja dah suka dukanya t___t,pengalaman keseluruhan,1371650588,tanyarlfes,Tue May 14 10:04:25 +0000 2024,Negatif,Negatif
magang studi independen bersertifikat batch halo warga ekonomi kamu mau ikutan msib batch wajib perhatikan atas pendaftaran lancar ayo simak informasi atas narahubung naura id line nauyaz iqbal id line iqbal,administrasi,206872736,BEMFEBUNDIP,Tue May 14 06:11:09 +0000 2024,Positif,Positif
jabarnow mei putus sekolah cirebon studi tour ciater subang tasik ciamis independen wanita pemotor bogor tewas malaysia jokowi miliar hadiah gratis anak sd bpjs pendek po bus prayforsumbar muhammadiyah,pengalaman keseluruhan,83528520,GilangPambudhi,Tue May 14 05:57:13 +0000 2024,Positif,Positif
ak ikut msib bagian studi independen si kak jadi lebih fokus satu bidang diminati pelaksanaannya online poin plusnya dapet sertifikasi terkait bidang diambil dapet dimasukkan linkedin da,pengalaman keseluruhan,1.55E+18,yoloobund,Tue May 14 04:51:10 +0000 2024,Positif,Positif
projek studi independen,pengalaman keseluruhan,2757597425,slythselen,Tue May 14 01:37:16 +0000 2024,Netral,Netral
ikutan km hibah mbkm uns trs milih asistensi mengajar studi independen tp cari tau dlu matkul aja bakal dikonversi prodimu biar ntar belakang ga riweuh,pengalaman keseluruhan,1.34E+18,lavanyashcara,Mon May 13 15:45:22 +0000 2024,Netral,Netral
um sekarang ikut studi independen trus rencana mau ikut msib,pengalaman keseluruhan,7.41E+17,um_fess,Mon May 13 13:27:44 +0000 2024,Netral,Netral
ut semester depan sender udh semester sini ngga pernah ikut program studi independen kampus merdeka aku mau tanya,pengalaman keseluruhan,1.45E+18,utfess,Mon May 13 11:18:54 +0000 2024,Netral,Netral
magangnya ternyata studi independen gk diizinin,pengalaman keseluruhan,1.32E+18,usumfs,Mon May 13 10:35:01 +0000 2024,Netral,Netral
bangkit academy kak msib studi independen,pengalaman keseluruhan,1.57E+18,beealtz,Mon May 13 09:55:47 +0000 2024,Netral,Netral
semenjak ikut studi independen makin nolep aja gua bjir,pengalaman keseluruhan,1.38E+18,tonystaork,Mon May 13 03:32:51 +0000 2024,Positif,Positif
msib magang udah jera ambil studi independen,pengalaman keseluruhan,1.38E+18,tonystaork,Mon May 13 03:30:47 +0000 2024,Netral,Netral
klp studi independen konversi sks jg kak,pengalaman keseluruhan,1.53E+18,3000ilyieu,Mon May 13 01:51:19 +0000 2024,Netral,Netral
tergantung pilihan kmu magang studi independen,pengalaman keseluruhan,1.59E+18,yorozuyaginyan,Sun May 12 12:46:11 +0000 2024,Netral,Netral
kalo magang magang kalo studi independen belajar,pengalaman keseluruhan,1.35E+18,sukanumpuktugas,Sun May 12 12:45:19 +0000 2024,Netral,Netral
magang exchange mengajar studi independen,pengalaman keseluruhan,1.46E+18,yoocrn,Sun May 12 12:42:37 +0000 2024,Netral,Netral
magang studi independen magang praktik kerja bareng perusahaan langsung kalau studi independen kaya bootcamp online mengenai hardskill dunia kerja bareng expert,pengalaman keseluruhan,1.60E+18,txtdarimaskael5,Sun May 12 12:36:58 +0000 2024,Positif,Positif
ikutan kalo mau konsultasi ikutan kali pertama studi independen kedua magang perusahaan terus dilanjut reguler kalo dulu banyakin apply kalo sekarang lebih nama kampus coba cari nama lowongan namanya ga pahami,pengalaman keseluruhan,1.01E+18,harianpras,Sun May 12 12:06:01 +0000 2024,Positif,Positif
pernah sedang mengikuti keg kampus merdeka misal magang msib studi independen pmm,pengalaman keseluruhan,1.44E+18,SleepyGirl1221,Sun May 12 07:54:20 +0000 2024,Netral,Netral
 semester daftar studi independen msib buat konversi kkn yaynay kasih tau plus minusnya dong tia,pengalaman keseluruhan,1.05E+18,collegemenfess,Sat May 11 16:39:28 +0000 2024,Negatif,Negatif
hmmm thanksjadi review yang mau ikut stupen studi independen mbkm pikir dulu mau ambil semester berapa nantinya menyulitkan kalian konversi matakuliah dikonversi sks apa keuntungan mengikuti stupen,pengalaman keseluruhan,1.26E+18,deeepinsideU,Fri May 10 08:42:30 +0000 2024,Negatif,Negatif
raih kesempatan belajar coding gratis bersama ahli bidangnya tunggu daftar sekarang link sibdicoding sib msib sibatdicoding dicodingindonesia studiindependen msib magangmerdeka,administrasi,2826650155,dicoding,Fri May 10 08:17:38 +0000 2024,Positif,Positif
hai coders melalui program studi independen bersertifikat ismail cindy membuktikan dicoding selalu konsisten terus memberikan terbaik mahasiswa bertalenta indonesia,administrasi,2826650155,dicoding,Fri May 10 08:01:48 +0000 2024,Positif,Positif
info msib batch halo mahasiswa mrl pendaftaran kampus merdeka magang studi independen bersetifikat batch dibuka,administrasi,235234577,mrl_upi,Fri May 10 07:53:40 +0000 2024,Netral,Netral
magang studi independen bersertifikat doain aku lolos wkwk,pengalaman keseluruhan,1.41E+18,iciispace,Fri May 10 05:00:04 +0000 2024,Netral,Netral
ngerjain ta ngerjain project studi independen ato ngerjain project kerjaan kalo hari istirahat ppkm planga plongo kaya meong ovt,proses belajar mengajar,1.36E+18,awantaroo,Fri May 10 03:39:56 +0000 2024,Positif,Positif
madt pernah ikut mbkm program studi independen gak review dong tia,pengalaman keseluruhan,1.19E+18,jembermfs,Fri May 10 03:10:01 +0000 2024,Netral,Netral
beasiswa kipk sering telat turun bu bahkan pendanaan program msib magang studi independen bersertifikat telat turun jadinya persiapkan dana pribadi dulu mengcover biaya hi,administrasi,1.18E+18,ulin_simjang,Fri May 10 02:20:21 +0000 2024,Negatif,Negatif
̢_xd_pendaftaran program msib̢_xd_ hallo sobat teknik kimia info nih kemendikbud terkait program magang msib magang studi independen bersertifikat ketentuan magang msib diantaranya mahasiswa mendapat benefit berupa bbh bantuan biaya hidup mobilisasi,administrasi,1062327577,himatemia_ft,Thu May 09 16:38:34 +0000 2024,Netral,Netral
